Scenario
70_optPVroof_optBESS_third
SREC_50_optPV_optBESS_third
fixedPV_only_third
70_fixedPV_optBESS_direct
70_optPVroof_optBESS_direct
SREC_fixedPV_only_direct
50_optPVroof_optBESS_direct
SREC_70_fixedPV_optBESS_third
SREC_70_optPVroof_optBESS_direct
50_optPV_optBESS_third
fixedPV_only_direct
SREC_50_optPV_optBESS_direct
70_optPV_optBESS_third
SREC_70_optPV_optBESS_direct
50_optPVroof_optBESS_third
SREC_50_optPVroof_optBESS_third
SREC_50_fixedPV_optBESS_direct
70_optPV_optBESS_direct
70_fixedPV_optBESS_third
SREC_optimalPV_only_direct
50_optPV_optBESS_direct
50_fixedPV_optBESS_third
SREC_fixedPV_only_third
SREC_70_fixedPV_optBESS_direct
SREC_50_optPVroof_optBESS_direct
SREC_optimalPV_only_third
SREC_70_optPVroof_optBESS_third
optimalPV_only_direct
optimalPV_only_third
50_fixedPV_optBESS_direct
SREC_50_fixedPV_optBESS_third
SREC_70_optPV_optBESS_third
