cop,cf,temp,cf_orig,heating load (mmbtu),heating load (ton),heating load/cf_orig,heating_load/cf
1.249,0.43,-2.2,0.43008,4.49569612,374.6413433,871.0968734,871.258938
1.249,0.43,-2.2,0.43008,3.18683136,265.56928,617.4880952,617.6029767
1.249,0.43,-2.2,0.43008,4.47155529,372.6296075,866.4192883,866.5804826
1.249,0.43,-2.2,0.43008,3.09861316,258.2177633,600.394725,600.5064264
1.166,0.409,-4,0.4092,4.19017906,349.1815883,853.3274397,853.7447148
1.166,0.409,-4,0.4092,2.82448945,235.3741208,575.2055739,575.486848
1.083,0.388,-5.8,0.38832,10.5028259,875.2354917,2253.902688,2255.761576
1.083,0.388,-5.8,0.38832,12.7566763,1063.056358,2737.578179,2739.835975
1.166,0.409,-4,0.4092,8.56857013,714.0475108,1744.984142,1745.837435
1.333,0.451,-0.4,0.45096,7.15788371,596.4903092,1322.712234,1322.594921
1.499,0.493,3.2,0.49272,5.8506378,487.55315,989.5136183,988.9516227
1.582,0.514,5,0.5136,4.59881342,383.2344517,746.1729978,745.5923184
1.665,0.534,6.8,0.53448,4.20565992,350.47166,655.7245547,656.31397
1.665,0.534,6.8,0.53448,3.50819822,292.3498517,546.979965,547.4716323
1.665,0.534,6.8,0.53448,3.21349632,267.79136,501.0315821,501.4819476
1.665,0.534,6.8,0.53448,3.25292425,271.0770208,507.1789793,507.6348705
1.499,0.493,3.2,0.49272,4.09305272,341.0877267,692.2546815,691.8615145
1.333,0.451,-0.4,0.45096,5.11909292,426.5910767,945.9621179,945.8782188
1.083,0.388,-5.8,0.38832,5.10121704,425.10142,1094.719355,1095.622216
1.083,0.388,-5.8,0.38832,5.72313597,476.9279975,1228.182935,1229.19587
1.249,0.43,-2.2,0.43008,5.97427782,497.856485,1157.590413,1157.805779
1.416,0.472,1.4,0.47184,5.90409309,492.0077575,1042.742789,1042.389317
1.499,0.493,3.2,0.49272,0.44956041,37.4633675,76.03378694,75.99060345
1.499,0.493,3.2,0.49272,1.05747391,88.12282583,178.8497033,178.7481254
1.499,0.493,3.2,0.49272,1.28272369,106.8936408,216.9460157,216.8228009
1.582,0.514,5,0.5136,1.44355873,120.2965608,234.2222758,234.0400016
1.582,0.514,5,0.5136,1.53795858,128.163215,249.53897,249.3447763
1.665,0.534,6.8,0.53448,1.76283709,146.9030908,274.8523627,275.099421
1.665,0.534,6.8,0.53448,1.98574486,165.4787383,309.6069794,309.8852778
1.748,0.555,8.6,0.55536,1.97741631,164.7846925,296.7168908,296.9093559
1.748,0.555,8.6,0.55536,5.68039342,473.3661183,852.3590434,852.9119249
1.748,0.555,8.6,0.55536,8.13449368,677.8744733,1220.603705,1221.395447
1.831,0.576,10.4,0.57624,5.67682248,473.06854,820.957483,821.2995486
1.998,0.618,14,0.618,3.74036655,311.6972125,504.3644215,504.3644215
2.164,0.66,17.6,0.65976,2.85710875,238.0923958,360.8772824,360.7460543
2.33,0.702,21.2,0.70152,2.56996575,214.1638125,305.2853981,305.076656
2.497,0.743,24.8,0.74328,2.72210101,226.8417508,305.1901717,305.3051828
2.58,0.764,26.6,0.76416,2.83488354,236.240295,309.1503023,309.2150458
2.58,0.764,26.6,0.76416,3.03608206,253.0068383,331.0914446,331.1607832
2.58,0.764,26.6,0.76416,3.29990409,274.9920075,359.8618189,359.9371826
2.497,0.743,24.8,0.74328,3.60426288,300.35524,404.0943386,404.2466218
2.414,0.722,23,0.7224,4.26748626,355.623855,492.2810839,492.5538158
2.33,0.702,21.2,0.70152,4.72473622,393.7280183,561.2498836,560.866123
2.247,0.681,19.4,0.68064,4.83860494,403.2170783,592.4087305,592.0955629
2.164,0.66,17.6,0.65976,5.30569288,442.1410733,670.1544097,669.9107172
2.081,0.639,15.8,0.63888,5.74956336,479.13028,749.9534811,749.8126448
2.081,0.639,15.8,0.63888,0.43496045,36.24670417,56.73476109,56.72410668
2.081,0.639,15.8,0.63888,1.00363213,83.63601083,130.9103601,130.885776
2.081,0.639,15.8,0.63888,1.3150482,109.58735,171.5304126,171.4982003
1.998,0.618,14,0.618,1.74276878,145.2307317,235.0011839,235.0011839
1.998,0.618,14,0.618,2.19592282,182.9935683,296.1060976,296.1060976
1.998,0.618,14,0.618,2.39113585,199.2613208,322.4293217,322.4293217
2.081,0.639,15.8,0.63888,2.80817466,234.014555,366.2887475,366.2199609
2.164,0.66,17.6,0.65976,2.85575065,237.9792208,360.7057427,360.574577
2.164,0.66,17.6,0.65976,6.30376961,525.3141342,796.2200409,795.9305063
